,Square Ft,year_sale,year_blt,price_sf,Sale Price,GEOID,Sub_geo,unique_ID,year,month,year-month
0,4675,2021,1995,513.368984,"$2,400,000 ",13117130411,North Forsyth,1 CUNNINGHAM PT-12/1/2021-2400000,2021,12,2021-12
1,3987,2019,1995,150.5141711,"$600,100 ",13117130606,South Forsyth,100 ANTLER TRL-8/26/2019-600100,2019,8,2019-8
2,2440,2021,1985,161.4754098,"$394,000 ",13117130409,Cumming,100 CRAIN DR-12/17/2021-394000,2021,12,2021-12
3,3060,2021,1997,240.1960784,"$735,000 ",13117130611,South Forsyth,100 HIGHGROVE DR-7/22/2021-735000,2021,7,2021-7
4,1386,2021,2004,212.1212121,"$294,000 ",13117130602,South Forsyth,1001 ANNAZANES CT-9/27/2021-294000,2021,9,2021-9
5,2022,2019,2005,141.9386746,"$287,000 ",13117130406,Cumming,1001 CONSTITUTION WAY-7/5/2019-287000,2019,7,2019-7
6,2731,2022,2022,200.1098499,"$546,500 ",13117130411,North Forsyth,1001 LEXINGTON GREEN PNES-7/29/2022-546500,2022,7,2022-7
7,3260,2019,2003,206.5030675,"$673,200 ",13117130615,South Forsyth,10010 BRADFORD LN-6/25/2019-673200,2019,6,2019-6
8,3923,2018,2003,179.7094061,"$705,000 ",13117130615,South Forsyth,10010 HALSTEAD DR-6/25/2018-705000,2018,6,2018-6
9,3923,2019,2003,173.3367321,"$680,000 ",13117130615,South Forsyth,10010 HALSTEAD DR-9/11/2019-680000,2019,9,2019-9
10,3180,2018,2001,194.9685535,"$620,000 ",13117130608,South Forsyth,10015 CAMPESTRAL CT-4/19/2018-620000,2018,4,2018-4
11,1386,2020,2004,173.1601732,"$240,000 ",13117130602,South Forsyth,1002 ANNAZANES CT-9/4/2020-240000,2020,9,2020-9
12,2056,2018,2005,142.0233463,"$292,000 ",13117130406,Cumming,1002 CONSTITUTION WAY-5/18/2018-292000,2018,5,2018-5
13,2339,2022,2022,220.3078239,"$515,300 ",13117130411,North Forsyth,1002 LEXINGTON GREEN PNES-7/29/2022-515300,2022,7,2022-7
14,1386,2022,2006,263.3477633,"$365,000 ",13117130602,South Forsyth,1002 PRESTWYCK CT-6/28/2022-365000,2022,6,2022-6
15,1488,2021,2003,218.4139785,"$325,000 ",13117130413,Cumming,1002 SOMERTON PL-7/28/2021-325000,2021,7,2021-7
16,1734,2019,2006,143.5986159,"$249,000 ",13117130602,South Forsyth,1002 THORNBOROUGH DR-5/28/2019-249000,2019,5,2019-5
17,4513,2022,2004,321.2940394,"$1,450,000 ",13117130615,South Forsyth,10020 BRADFORD LN-6/9/2022-1450000,2022,6,2022-6
18,4513,2021,2004,216.0425438,"$975,000 ",13117130615,South Forsyth,10020 BRADFORD LN-4/27/2021-975000,2021,4,2021-4
19,6188,2018,2005,152.7149321,"$945,000 ",13117130608,South Forsyth,10020 CAMPESTRAL CT-1/29/2018-945000,2018,1,2018-1
20,3742,2018,2000,193.7466595,"$725,000 ",13117130615,South Forsyth,10020 NORMANDY LN-7/26/2018-725000,2018,7,2018-7
21,4373,2020,2003,203.5216099,"$890,000 ",13117130615,South Forsyth,10025 HALSTEAD DR-7/31/2020-890000,2020,7,2020-7
22,2339,2022,2022,218.1402309,"$510,230 ",13117130411,North Forsyth,1003 LEXINGTON GREEN PNES-7/29/2022-510230,2022,7,2022-7
23,4314,2020,2003,183.1247102,"$790,000 ",13117130511,South Forsyth,1003 WINDERMERE XING-7/31/2020-790000,2020,7,2020-7
24,3997,2019,2001,205.1538654,"$820,000 ",13117130615,South Forsyth,10030 HALSTEAD DR-5/31/2019-820000,2019,5,2019-5
25,2821,2022,2022,197.5682382,"$557,340 ",13117130304,West Forsyth,1004 LEXINGTON GREEN PNES-8/2/2022-557340,2022,8,2022-8
26,4495,2020,2004,185.7619577,"$835,000 ",13117130615,South Forsyth,10040 BRADFORD LN-2/28/2020-835000,2020,2,2020-2
27,4967,2019,2002,182.2025367,"$905,000 ",13117130615,South Forsyth,10040 HALSTEAD DR-11/18/2019-905000,2019,11,2019-11
28,4136,2019,2000,227.2727273,"$940,000 ",13117130615,South Forsyth,10040 NORMANDY LN-12/18/2019-940000,2019,12,2019-12
29,4438,2022,2003,242.226228,"$1,075,000 ",13117130608,South Forsyth,10045 CAMPESTRAL CT-2/23/2022-1075000,2022,2,2022-2
30,4438,2019,2003,179.022082,"$794,500 ",13117130608,South Forsyth,10045 CAMPESTRAL CT-3/12/2019-794500,2019,3,2019-3
31,1352,2018,2004,145.3402367,"$196,500 ",13117130602,South Forsyth,1005 ANNAZANES CT-3/6/2018-196500,2018,3,2018-3
32,1320,2019,2003,166.6666667,"$220,000 ",13117130602,South Forsyth,1005 BENDLETON TRCE-2/20/2019-220000,2019,2,2019-2
